id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
121,美濃客家文物館,0.4,0.9,0.4,0.2,0.3,"藝文,文化,親子",22.91100589,120.5575595,https://orgws.kcg.gov.tw/Download.ashx?u=LzAwMS9LY2dPcmdVcGxvYWRGaWxlcy8zODEvY2tmaWxlL2Q2MjQ4ZDdjLTI4YWItNDE4NS1hYjkyLWFmNzAwY2I5YjA3OUAxMDI0eDc2OC5qcGc%3D&n=YWFhLmpwZw%3D%3D&Icon=.jpg,美濃區
122,內門紫竹寺,0.4,1,0.3,0.3,0.3,"廟宇,文化",22.91718212,120.4550313,https://khh.travel/image/37247/1920x1080,內門區
123,大東濕地公園,0.9,0.3,0.3,0.2,0.5,"風景,打卡點,親子",22.62826788,120.3646896,https://takao.kcg.gov.tw/public/article/a0/383/atl_383_20200309152647_337.jpg,鳳山區
124,鳳山龍山寺,0.2,1,0.2,0.3,0.2,"廟宇,古蹟",22.62074856,120.3619831,https://upload.wikimedia.org/wikipedia/commons/9/95/%E9%B3%B3%E5%B1%B1%E9%BE%8D%E5%B1%B1%E5%AF%BA2022%E5%B9%B4.jpg,鳳山區
125,觀音湖,0.9,0.2,0.1,0.1,0.5,"風景,戶外運動",22.70981906,120.3696686,https://img.ltn.com.tw/Upload/house/page/2025/07/17/250717-24903-1-GVRv4.jpg,仁武區
126,武德殿,0.3,0.9,0.3,0.1,0.2,"古蹟,藝文",22.62460554,120.27239,https://upload.wikimedia.org/wikipedia/commons/c/ca/%E5%BF%A0%E7%BE%A9%E5%9C%8B%E5%B0%8F%E7%A6%AE%E5%A0%82%E5%8E%9F%E6%AD%A6%E5%BE%B7%E6%AE%BF.jpg,鼓山區
127,旗山老街,0.3,0.8,0.6,0.9,0.5,"美食,老街,購物",22.88458868,120.4819741,https://khh.travel/image/55753/1920x1080,旗山區
128,半屏山自然公園,1,0.3,0.2,0.1,0.8,"風景,登山,戶外運動",22.69839599,120.3100676,https://e-info.org.tw/sites/default/files/styles/article_list/public/49545392953_1b6e18fd87_b.jpg?itok=mxjOTtH8,左營區
129,光之穹頂,0.1,0.8,0.5,0.3,0.2,"打卡點,藝文,室內",22.63167557,120.301914,https://www.taiwan.net.tw/att/1/big_scenic_spots/pic_A12-00074.jpg,新興區
130,美濃民俗村,0.5,0.8,0.7,0.6,0.4,"文化,購物,親子",22.89313826,120.5139756,https://khh.travel/image/20143/1024x768,美濃區
